,Gene name,mito,ORF,value,R value,P value,BH
383,GEP4,mito,YHR100C,0.00010220041794052808,0.09560734423297083,0.5626089549198041,0.9563233726768041
384,CMC1,mito,YKL137W,0.00010186029097522839,-0.04103209383238973,0.7842057555284933,1.107571209542617
385,ATP12,mito,YJL180C,0.0001008324200466301,0.0872482900710818,0.555414333389233,0.9516618337631145
386,MRPL17,mito,YNL252C,0.0001000223312064707,0.006028672614746637,0.9675611965551038,1.2172371867641916
387,REX2,mito,YLR059C,9.886347867675216e-05,-0.1100889073348881,0.45143684638491954,0.8715292207939175
388,COQ9,mito,YLR201C,9.876669686006628e-05,0.1686535349446749,0.24669317234298535,0.6972649995148842
389,MRPL44,mito,YMR225C,9.873871617014703e-05,-0.0683488832335001,0.6480353825205567,1.018745579508299
390,ISU1,mito,YPL135W,9.871194705237767e-05,-0.09988865449484881,0.49468207932088626,0.9054389677695643
391,COT1,mito,YOR316C,9.871110472835851e-05,0.03727847766661382,0.8013871640255487,1.1191278484962746
392,PSD1,mito,YNL169C,9.833144807957868e-05,0.08461198494344038,0.5717566822002026,0.960888379913854
393,FMP41,mito,YNL168C,9.78670333012944e-05,-0.06683701954829206,0.6446753973189748,1.0169694920806707
394,VHC1,mito,YBR235W,9.759467977733112e-05,-0.06393497321216961,0.7194265919672057,1.063973597633662
395,TIM21,mito,YGR033C,9.74306436688731e-05,0.0457434274776661,0.7549635698282642,1.0896709891591743
396,OMS1,mito,YDR316W,9.734398642302457e-05,0.04199168863803675,0.7792840381040087,1.1044970618796974
397,CHO1,mito,YER026C,9.730077073433446e-05,0.04007441561326931,0.8219622500325762,1.1300948322055921
398,COQ1,core,YBR003W,9.65927251505903e-05,-0.11524092452395666,0.4254939381335817,0.8497455581996202
399,MRPL24,mito,YMR193W,9.627560575238346e-05,0.026547113617083985,0.8547974484507679,1.1504947948451894
400,SAM50,mito,YNL026W,9.58718662937844e-05,-0.07529451440942149,0.6110129990930075,0.991772404792637
401,MHR1,mito,YDR296W,9.531695791438505e-05,-0.05720674539313584,0.6931344782362449,1.0477436090908099
